Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,6,7826b586-f7a4-4b94-a9ec-3a52a70509f0,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-841027422-mekel-noorderkrant/tif/img20220419_14491705.tif,,mekel-noorderkrant,,,,,-1,0,,
Image,1,6,a6c6b39f-f0ae-4f6e-8dd5-c66f3bf82566,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-841027422-mekel-noorderkrant/tif/img20220419_14504387.tif,,mekel-noorderkrant,,,,,-1,1,,
Image,2,6,320c4807-0638-4729-b959-327ca2ad7735,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-841027422-mekel-noorderkrant/tif/img20220419_14521655.tif,,mekel-noorderkrant,,,,,-1,2,,
Image,3,6,1d89c695-9e9f-4483-af9a-e3d73adbb58d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-841027422-mekel-noorderkrant/tif/img20220419_14530356.tif,,mekel-noorderkrant,,,,,-1,3,,
Image,4,6,2204405d-af03-463d-8f08-499032c43b61,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/magazijn/oclc-841027422-mekel-noorderkrant/tif/img20220419_14535542.tif,,mekel-noorderkrant,,,,,-1,4,,
